gene,disease,score,association,pmid
GJC2,MESH:D000072657,0.9995,Association,40169697
HMGCL,MESH:D000072657,0.9996,Association,40169697
AKT3,MESH:D000072657,0.9995,Association,40169697
PKP1,MESH:C536183,0.9997,Association,40178867
Faah,MESH:C000726808,0.984,Positive_Correlation,40187430
TEDDM1,MESH:D006528,0.9758,Positive_Correlation,28662289
RGSL1,MESH:D006528,0.9764,Association,28662289
LINC00272,MESH:D006528,0.979,Positive_Correlation,28662289
GLUL,MESH:D006528,0.9977,Association,28662289
OR10K1,MESH:D001249,0.9916,Association,30669148
ATF3,MESH:D001249,0.9971,Association,30669148
EPB41,MESH:C563333,0.9811,Negative_Correlation,34652259
BPNT1,MESH:C563333,0.9754,Negative_Correlation,34652259
SLC35E2A,MESH:D000077277,0.9983,Association,35247439
C1QB,MESH:D007037,0.8874,Association,35450027
IL12RB2,MESH:D003586,0.8053,Negative_Correlation,36518759
SH2D1B,MESH:D003586,0.8981,Association,36518759
SFT2D2,MESH:D001327,0.9997,Association,36619926
SFT2D2,MESH:D012559,0.9962,Association,36619926
MPC2,MESH:D012559,0.7914,Association,36619926
SFT2D2,MESH:D012559,0.9982,Association,36619926
GPR161,MESH:D012559,0.9268,Association,36619926
HYDIN2,MESH:D002925,0.9908,Association,36873931
MTOR,MESH:D009107,0.9995,Association,37020999
COLGALT2,MESH:D008457,0.997,Association,37020999
SOAT1,MESH:D008457,0.9992,Association,37020999
LAMC1,MESH:D009107,0.9992,Association,37020999
GSTM4,MESH:D008457,0.9942,Association,37020999
PAQR6,MESH:D008457,0.9976,Association,37020999
CCDC18,MESH:D009101,0.997,Association,37227248
ACBD3,MESH:D009101,0.9973,Association,37227248
LINC01132,MESH:D007938,0.6706,Association,37264554
PARP1,MESH:D007938,0.9994,Association,37264554
OLFML2B,MESH:D006528,0.9604,Association,37340445
OLFML2B,MESH:D009369,0.9951,Association,37340445
SLC35F3,MESH:D000077273,0.9994,Association,37733241
YBX1,MESH:D013274,0.9932,Association,37929660
PIN1P1,MESH:D013274,0.7794,Positive_Correlation,37929660
EPS8L3,MESH:D013274,0.9996,Association,37978443
KANK4,MESH:D008207,0.8942,Association,38211648
MIR4421,MESH:D051437,0.807,Association,38216777
LINC01138,MESH:D064129,0.9897,Association,38373667
ADAMTSL4,MESH:D005124,0.9997,Association,39278391
ADAMTSL4,MESH:D007905,0.9996,Association,39278391
ADAMTSL4,MESH:D004479,0.9997,Association,39278391
UBIAD1,MESH:D001943,0.9918,Association,39294175
UBIAD1,MESH:D009362,0.9003,Negative_Correlation,39294175
UBIAD1,MESH:D009369,0.9995,Association,39294175
GLRX2,MESH:D011085,0.9994,Association,39314522
LYPLAL1,MESH:D005901,0.9111,Negative_Correlation,39342991
CHRM3,MESH:D010051,0.9708,Association,39355254
MIR197,MESH:D001943,0.9995,Association,39383380
B3GALT6,MESH:D008180,0.902,Association,39496744
INPP5B,MESH:D008180,0.5747,Association,39496744
FHL3,MESH:D008180,0.9987,Association,39496744
HES4,MESH:D000860,0.9994,Association,39497743
INSL5,MESH:D005767,0.9996,Association,39568362
RXFP4,MESH:D005767,0.9996,Association,39568362
INSL5,MESH:D003248,0.9997,Association,39568362
RXFP4,MESH:D003248,0.9997,Association,39568362
UCHL5,MESH:D051436,0.9968,Positive_Correlation,39622158
UCHL5,MESH:D005355,0.9918,Positive_Correlation,39622158
RAB13,MESH:D002292,0.7423,Association,39689763
RAB13,MESH:D009369,0.6293,Association,39689763
CD1E,MESH:D017093,0.9993,Association,39800763
TMCO1,MESH:D008103,0.9996,Association,39800763
CD1E,MESH:D008103,0.9995,Association,39800763
TMCO1,MESH:D017093,0.9995,Association,39800763
C8B,MESH:D018281,0.9774,Association,39831920
F13B,MESH:D018281,0.9942,Association,39831920
C8A,MESH:D018281,0.9681,Association,39831920
NOC2L,MESH:D063646,0.9995,Association,39868138
NOC2L,MESH:D009369,0.9924,Association,39868138
ILF2,MESH:D000077195,0.9486,Association,39917898
ILF2,MESH:D009369,0.9948,Positive_Correlation,39917898
IL10,MESH:D000077195,0.9912,Association,39917898
C8A,MESH:D008180,0.9975,Association,39933823
GADD45A,MESH:D001943,0.9989,Association,39948551
ENO1,MESH:D001943,0.9976,Association,39948551
LCE1D,MESH:D003324,0.9995,Association,39976036
CACNA1E,MESH:D003324,0.9995,Association,39976036
LRP8,MESH:D001749,0.6683,Negative_Correlation,39989004
Lrp8,MESH:D001749,0.9994,Association,39989004
MASP2,MESH:D006528,0.9982,Association,40014188
MUC1,MESH:D006528,0.9708,Association,40014188
ADAMTSL4,MESH:C563255,0.7793,Association,40025527
CLIC4,MESH:D020181,0.997,Association,40029375
CLIC4,MESH:D001249,0.9272,Association,40029375
APOA2,MESH:D001281,0.9913,Association,40036186
YIPF1,MESH:D006528,0.9718,Association,40055377
RAB3B,MESH:D006528,0.9421,Association,40055377
IL20,MESH:D000090862,0.9993,Association,40068518
IL24,MESH:D019636,0.9989,Association,40068518
IL19,MESH:D009103,0.9994,Association,40068518
IL19,MESH:D019636,0.9909,Association,40068518
IL24,MESH:D000544,0.9991,Association,40068518
IL20,MESH:D019636,0.9996,Association,40068518
IL20,MESH:D007249,0.9992,Association,40068518
IL24,MESH:D009103,0.9996,Association,40068518
IL24,MESH:D010300,0.9995,Association,40068518
IL22RA1,MESH:D002493,0.9825,Association,40068518
IL20,MESH:D009410,0.9985,Association,40068518
IL20,MESH:D002493,0.9959,Association,40068518
IL24,MESH:D007249,0.999,Positive_Correlation,40068518
CRB1,MESH:D000853,0.7943,Association,40141357
CRB1,MESH:D002386,0.9988,Association,40141357
CRB1,MESH:D052919,0.9996,Association,40141357
UBIAD1,MESH:C535475,0.9954,Association,40141754
ATP8B2,MESH:D028361,0.7098,Negative_Correlation,40148707
ATP8B2,MESH:D050197,0.6874,Negative_Correlation,40148707
CRB1,MESH:C536600,0.9954,Association,40149532
CRB1,MESH:D000071700,0.8784,Association,40149532
CRB1,MESH:D008268,0.6227,Association,40149532
CRB1,MESH:D058437,0.9996,Association,40149532
APOA2,MESH:D010190,0.9997,Association,40171807
Faah,MESH:D000544,0.9962,Association,40172080
GADD45A,MESH:D018805,0.9974,Positive_Correlation,40184094
PIK3CD-AS1,MESH:D002292,0.9983,Association,30337839
PIK3CD-AS1,MESH:D009369,0.9981,Positive_Correlation,30337839
PIK3CD-AS1,MESH:D009362,0.9956,Positive_Correlation,30337839
LSM10,MESH:D006528,0.9994,Association,35646684
ZFP69B,MESH:D009369,0.7112,Association,36249031
ZFP69B,MESH:D006528,0.9986,Association,36249031
FAM89A,MESH:D014777,0.9996,Association,36451823
FAM89A,MESH:D000071072,0.9997,Association,36451823
FAM89A,MESH:D014777,0.9985,Association,36451823
FAM89A,MESH:D000071072,0.9975,Association,36451823
EPS8L3,MESH:D009362,0.9995,Association,36819133
EPS8L3,MESH:D010190,0.9961,Association,36819133
LINC01138,MESH:D006528,0.9991,Association,36844873
LINC01138,OMIM:191181,0.9113,Association,36844873
OBSCN,MESH:D063646,0.9789,Association,36877839
OBSCN,MESH:D064726,0.9983,Association,36877839
OBSCN,MESH:D009362,0.9973,Association,36877839
OBSCN-AS1,MESH:D009362,0.998,Negative_Correlation,36877839
OBSCN,MESH:D001943,0.9986,Association,36877839
OBSCN-AS1,MESH:D001943,0.9442,Negative_Correlation,36877839
OBSCN-AS1,MESH:D064726,0.8563,Association,36877839
ZNF648,MESH:D003924,0.9988,Association,37546893
CACNA1E,MESH:D002318,0.9991,Association,37546893
CACNA1E,MESH:D003924,0.9993,Association,37546893
ZNF648,MESH:D002318,0.9586,Association,37546893
MATN1,MESH:D002583,0.9993,Association,37714866
MIR200B,MESH:D008207,0.9725,Positive_Correlation,37714866
MATN1,MESH:D008207,0.719,Positive_Correlation,37714866
MATN1,MESH:D009369,0.999,Association,37714866
MIR200B,MESH:D002583,0.9995,Association,37714866
MIR200B,MESH:D009369,0.9853,Association,37714866
PRKAA2,MESH:D002311,0.9995,Association,37723491
RNF207,MESH:D002311,0.9995,Association,37723491
SCARNA2,MESH:D009369,0.999,Association,37775817
ATP8B2,MESH:D003093,0.9989,Association,37843347
PLEKHO1,MESH:D003093,0.9994,Association,37843347
STMN1,MESH:D020181,0.9994,Association,38178888
LCE2C,MESH:D020181,0.9995,Association,38178888
CSMD2,MESH:D008175,0.9996,Association,38442557
PSMB2,MESH:D005910,0.9965,Association,38467767
PSMB2,MESH:D009369,0.6861,Positive_Correlation,38467767
SNORA16A,MESH:D009362,0.9971,Association,38612790
SNORA16A,MESH:D009364,0.9991,Association,38612790
MINDY1,MESH:D006528,0.6541,Association,39217442
MINDY1,MESH:D009369,0.8029,Association,39217442
MIR205HG,MESH:D002294,0.9951,Positive_Correlation,39242755
SRGAP2,MESH:C537985,0.9989,Association,39406239
SRGAP2,MESH:D000067877,0.8578,Association,39406239
SRGAP2,MESH:D001321,0.9995,Association,39406239
Slamf9,MESH:D000086382,0.9817,Positive_Correlation,39414783
Slamf9,MESH:D007249,0.9997,Association,39414783
PIK3CD,MESH:D009062,0.9996,Association,39511483
Hdac1,MESH:D006930,0.9973,Association,39542827
LINC00853,MESH:D006528,0.969,Association,39609501
GAS5,MESH:D006528,0.978,Association,39609501
RGS7,MESH:D015228,0.9996,Association,39662927
VANGL1,MESH:D030342,0.9983,Association,39753546
RPL5,MESH:C536494,0.8251,Association,39858540
OLFML2B,MESH:D012516,0.646,Association,39925852
SERBP1,MESH:D001932,0.9993,Association,39937575
SERBP1,MESH:D000544,0.8677,Association,39937575
SERBP1,MESH:D019636,0.9987,Association,39937575
ILF2,MESH:D002583,0.9994,Association,39968981
MIR197,MESH:D007239,0.9845,Positive_Correlation,39970057
CRB1,MESH:D052919,0.9997,Association,39982393
CFH,MESH:D052919,0.999,Association,39982393
CFH,MESH:D058499,0.9983,Association,39982393
CFHR2,MESH:D052919,0.8536,Positive_Correlation,39982393
CRB1,MESH:D007249,0.554,Association,39982393
CRB1,MESH:D058499,0.9997,Association,39982393
HMGCL,MESH:D012516,0.991,Negative_Correlation,39985081
PIK3CD,MESH:D012516,0.9396,Association,39985081
MTOR,MESH:D012516,0.9321,Association,39985081
HMGCL,MESH:D009369,0.6362,Negative_Correlation,39985081
CLIC4,MESH:D000544,0.9996,Association,39991798
NEK7,MESH:D003093,0.9982,Association,40041908
NEK7,MESH:D003092,0.9988,Association,40041908
MIR205HG,MESH:D054990,0.9994,Association,40059822
USH2A,MESH:D025981,0.7171,Association,40083649
ABCA4,MESH:D052919,0.9996,Association,40083649
ABCA4,MESH:D025981,0.9984,Association,40083649
USH2A,MESH:D052919,0.9994,Association,40083649
S100A7,MESH:D007249,0.998,Positive_Correlation,40085417
S100A12,MESH:D007249,0.9986,Positive_Correlation,40085417
PARK7,MESH:D015535,0.9537,Positive_Correlation,40085417
S100A7,MESH:D015535,0.9866,Positive_Correlation,40085417
RGS7,MESH:D007249,0.5736,Negative_Correlation,40086518
RGS4,MESH:D001281,0.7546,Association,40086518
RGS7,MESH:D005355,0.7278,Negative_Correlation,40086518
RGS7,MESH:D001281,0.6476,Association,40086518
DPH2,MESH:D006130,0.9994,Association,40130534
DPH2,MESH:D005183,0.9995,Association,40130534
DPH2,MESH:D013036,0.9993,Association,40130534
DPH2,MESH:C536116,0.9993,Association,40130534
DPH2,MESH:D001284,0.9981,Association,40130534
DPH2,MESH:D019973,0.9731,Association,40130534
DPH2,MESH:D002658,0.9996,Association,40130534
DPH2,MESH:D056784,0.9475,Association,40130534
DPH2,MESH:D012640,0.9994,Association,40130534
DPH2,MESH:C536503,0.9994,Association,40130534
DPH2,OMIM:616901,0.9994,Association,40130534
DPH2,MESH:D057215,0.9991,Association,40130534
DPH2,MESH:D009123,0.9996,Association,40130534
TRAF5,MESH:D007239,0.5624,Association,40136419
CLIC4,MESH:D012878,0.983,Negative_Correlation,40140845
CLIC4,MESH:D011471,0.9906,Negative_Correlation,40140845
CLIC4,MESH:D013274,0.9841,Negative_Correlation,40140845
CLIC4,MESH:D010051,0.9989,Positive_Correlation,40140845
CLIC4,MESH:D009369,0.9989,Association,40140845
S100A12,MESH:D054556,0.9987,Association,40145454
S100A12,MESH:D000090882,0.9992,Association,40145454
S100A12,MESH:D008180,0.9931,Association,40145454
TRIM46,MESH:D009369,0.9954,Association,40154001
TRIM46,MESH:D010190,0.9997,Association,40154001
Prdm16,MESH:D012206,0.977,Association,40175611
FCER1G,MESH:D009436,0.9996,Association,40187376
LCK,MESH:D008180,0.9957,Association,40194603
HYDIN2,MESH:D058627,0.9997,Association,30155272
HYDIN2,MESH:D003072,0.9996,Association,30155272
EPS8L3,MESH:D006816,0.9996,Association,33049985
PRAMEF12,MESH:D006816,0.9973,Association,33049985
RBM15,MESH:D006816,0.9995,Association,33049985
SLC30A10,MESH:D006816,0.9954,Association,33049985
RALGPS2,MESH:D001749,0.9997,Association,34944949
TP73,MESH:C538320,0.9996,Association,36091765
DISC1,MESH:D000077192,0.9089,Association,36091765
NBPF26,MESH:C538320,0.9996,Association,36091765
SLC6A9,MESH:C538320,0.9996,Association,36091765
RUSC1,MESH:C538320,0.9996,Association,36091765
HNRNPR,MESH:C538320,0.9997,Association,36091765
CFAP57,MESH:C538320,0.9996,Association,36091765
OR10K1,MESH:D000077192,0.9673,Association,36091765
SLC6A9,MESH:D000077192,0.7715,Association,36091765
PBX1,MESH:C538320,0.9993,Association,36091765
OR10K1,MESH:C538320,0.9996,Association,36091765
DISC1,MESH:C538320,0.9996,Association,36091765
CELA2A,MESH:D021441,0.9991,Association,36116415
CTRC,MESH:D021441,0.9982,Association,36116415
CELA3A,MESH:D021441,0.9992,Association,36116415
CDC20,MESH:D021441,0.9995,Association,36116415
CELA2B,MESH:D021441,0.9992,Association,36116415
ODF2L,MESH:D000077216,0.9997,Association,36378528
ODF2L,MESH:D009369,0.9962,Association,36378528
HMGB1P45,MESH:D006261,0.9983,Association,36672757
RPL30P1,MESH:D006261,0.999,Association,36672757
FAF1,MESH:D006261,0.9971,Association,36672757
PFDN2,MESH:D009369,0.5772,Association,37538116
PFDN2,MESH:D013274,0.9849,Positive_Correlation,37538116
SF3B4,MESH:D001943,0.9991,Association,37551622
KIF26B,MESH:D009369,0.9973,Negative_Correlation,37551622
NR5A2,MESH:D001943,0.9994,Association,37551622
NR5A2,MESH:D009369,0.9849,Negative_Correlation,37551622
KIF26B,MESH:D001943,0.9992,Association,37551622
KRTCAP2,MESH:D001943,0.999,Association,37551622
SH2D1B,MESH:D009203,0.9996,Association,37576155
FASLG,MESH:D007249,0.9994,Association,37576155
SH2D1B,MESH:D007249,0.9995,Association,37576155
FASLG,MESH:D009203,0.9995,Association,37576155
OLFML2B,MESH:D002292,0.9986,Association,37676078
OLFML2B,MESH:D009362,0.9874,Association,37676078
NOC2L,MESH:D011225,0.8941,Association,37872600
LINC01132,MESH:D008175,0.8791,Positive_Correlation,38403680
LINC01132,MESH:D009369,0.9874,Association,38403680
NEXN,MESH:D018205,0.9996,Association,38474122
SVBP,MESH:D010190,0.8948,Association,38526030
ATP8B2,MESH:D008607,0.9997,Association,39219493
GLRX2,MESH:D005355,0.6111,Association,39278573
GLRX2,MESH:D065626,0.9939,Association,39278573
GLRX2,MESH:D004620,0.9873,Association,39278573
Tnfrsf14,MESH:D007249,0.9991,Association,39300279
Tnfrsf1b,MESH:D007249,0.9991,Association,39300279
Tnfrsf25,MESH:D007249,0.9988,Association,39300279
ODF2L,MESH:D014397,0.9997,Association,39337460
GBP2,MESH:D000086382,0.9976,Association,39337460
GBP2,MESH:D014397,0.9783,Association,39337460
ADAMTSL4,MESH:D030342,0.7352,Association,39360343
ADAMTSL4,MESH:D004479,0.9997,Association,39360343
ADAMTSL4,MESH:D005128,0.9997,Association,39360343
ADAMTSL4,MESH:D007906,0.9996,Association,39360343
HSPB7,MESH:D008545,0.9995,Association,39367275
HSPB7,MESH:D009369,0.9403,Negative_Correlation,39367275
Otud3,MESH:D015427,0.983,Positive_Correlation,39415292
Ptgs2,MESH:D002545,0.9994,Association,39415292
Ptgs2,MESH:D015427,0.9967,Association,39415292
Otud3,MESH:D002545,0.586,Association,39415292
PRRX1,MESH:D001024,0.9965,Association,39504041
AGO3,MESH:D008103,0.9995,Association,39524633
AGO3,MESH:D000094724,0.9994,Association,39524633
AGO3,MESH:D006528,0.5938,Association,39524633
ENAH,MESH:D006528,0.939,Association,39524633
TRIM46,MESH:D010051,0.9935,Association,39553213
MINDY1,MESH:D007333,0.9983,Association,39577414
VANGL1,MESH:D009362,0.9877,Association,39586126
VANGL1,MESH:D015179,0.9988,Association,39586126
SPRR2D,MESH:D057765,0.9994,Association,39643769
LGALS8,MESH:D003424,0.9995,Association,39643769
SPRR2E,MESH:D057765,0.9991,Association,39643769
SPRR2B,MESH:D057765,0.9994,Association,39643769
RAB13,MESH:D018805,0.9992,Association,39655195
TLR5,MESH:D018805,0.9996,Association,39655195
FCGR1A,MESH:D018805,0.9994,Association,39655195
NOC2L,MESH:D013274,0.9997,Association,39726754
TAGLN2,MESH:D013274,0.9997,Association,39726754
DHX9,MESH:D013274,0.9997,Association,39726754
PAQR6,MESH:D002292,0.9808,Association,39742277
PAQR6,MESH:D009369,0.9974,Association,39742277
SLAMF9,MESH:D009369,0.9995,Association,39815269
TENT5B,MESH:D001943,0.9993,Association,39833630
PKP1,MESH:D008175,0.5211,Association,39888730
TRIM46,MESH:D010051,0.9896,Association,39937005
TRIM46,MESH:D009369,0.9932,Association,39937005
BNIPL,MESH:D011471,0.9994,Association,39946051
GSTM2,MESH:D011471,0.9994,Association,39946051
MATN1,MESH:D009369,0.9982,Association,39999286
MATN1,MESH:D002292,0.9598,Positive_Correlation,39999286
MATN1,MESH:D009362,0.9984,Association,39999286
MIR200B,MESH:D010049,0.6285,Association,40002936
MIR200B,MESH:D017254,0.9516,Positive_Correlation,40002936
MIR200B,MESH:D004715,0.9993,Association,40002936
MIR200B,MESH:D003560,0.5897,Positive_Correlation,40002936
GADD45A,MESH:D002296,0.8706,Association,40012020
GADD45A,MESH:D001943,0.9823,Association,40012020
TGFB2,MESH:D001943,0.9979,Association,40012020
GADD45A,MESH:D009369,0.9894,Association,40012020
RGS7,MESH:D010051,0.9991,Association,40032058
RGS7,MESH:D014647,0.6499,Association,40032058
F3,MESH:D014647,0.5892,Association,40032058
F3,MESH:D054556,0.8582,Association,40032058
F3,MESH:D010051,0.993,Association,40032058
RGS7,MESH:D054556,0.967,Association,40032058
TRAF5,MESH:D007249,0.9994,Association,40093618
IL20,MESH:D007249,0.9982,Association,40133606
IL24,MESH:D007249,0.9987,Association,40133606
NGF,MESH:D007249,0.8765,Association,40133606
RAB13,MESH:D009369,0.6403,Association,40149492
TPM3,MESH:D014972,0.604,Positive_Correlation,40162548
NTRK1,MESH:D014972,0.9993,Association,40162548
Tnfaip8l2,MESH:D010024,0.9989,Association,40165373
Tnfaip8l2,MESH:D006311,0.9996,Association,40165373
Tnfaip8l2,MESH:D009410,0.6117,Negative_Correlation,40165373
MIR200B,MESH:D010051,0.9992,Association,40194350
MIR200B,MESH:D012175,0.9996,Association,40194350
ACTRT2,MESH:D004675,0.9981,Association,31122248
OR10J1,MESH:D004675,0.9985,Association,31122248
OR2T34,MESH:D004675,0.4441,Association,31122248
PLEKHA6,MESH:C537535,0.9893,Association,35810566
PLEKHA6,MESH:D009369,0.9993,Association,35810566
Bpnt1,MESH:D043183,0.9513,Association,36094925
ERO1B,MESH:D003924,0.9993,Association,36109769
DCLRE1B,MESH:D003922,0.9966,Association,36109769
ZNF683,MESH:D009101,0.9997,Association,36245253
SH2D1B,MESH:D009101,0.7589,Association,36245253
SLAMF7,MESH:D009101,0.9795,Association,36245253
TSEN15,MESH:D010003,0.9772,Association,36538011
COLGALT2,MESH:D010003,0.9996,Association,36538011
COLGALT2,MESH:D010003,0.9433,Association,36538011
TSEN15,MESH:D010003,0.9978,Association,36538011
CLK2,MESH:D011471,0.9837,Association,37143720
RNF207,MESH:D011471,0.9425,Association,37143720
SNHG12,MESH:D012871,0.9818,Association,38003532
SNHG12,MESH:D011565,0.9324,Association,38003532
CYP4Z2P,MESH:D012871,0.9994,Association,38003532
LINC00853,MESH:D009362,0.9969,Positive_Correlation,38171082
LINC00853,MESH:D013274,0.9977,Positive_Correlation,38171082
ODF2L,MESH:D015179,0.9801,Positive_Correlation,38334481
ODF2L,MESH:D009369,0.9719,Association,38334481
Mtor,MESH:D009369,0.9871,Association,38490509
Camk2n1,MESH:D009369,0.5647,Association,38490509
Camk2n1,MESH:D002289,0.7335,Association,38490509
Camk2n1,MESH:D009362,0.9719,Negative_Correlation,38490509
TACSTD2,MESH:D001943,0.9982,Association,39240479
NOTCH2,MESH:D001943,0.9716,Association,39240479
HSPB7,MESH:D009765,0.9991,Association,39348460
HSPB7,MESH:D018205,0.9987,Association,39348460
INTS7,MESH:D009369,0.5656,Positive_Correlation,39465338
INTS7,MESH:D000077192,0.9982,Positive_Correlation,39465338
RABIF,MESH:C562393,0.9961,Association,39644349
RABIF,MESH:D009369,0.9749,Association,39644349
CDCA8,MESH:C562393,0.6104,Association,39644349
SPRR2E,MESH:C562393,0.9814,Association,39644349
CAP1,MESH:C562393,0.8684,Association,39644349
RABIF,MESH:D008545,0.9985,Positive_Correlation,39644349
CYP4A22,MESH:C562794,0.9989,Association,39714216
CYP4A22,MESH:D053098,0.9651,Association,39714216
DNM3,MESH:D013274,0.9963,Association,39760915
HES4,MESH:D054218,0.9983,Association,40009499
SERBP1,MESH:D023921,0.9861,Association,40175693
SERBP1,MESH:D017202,0.9997,Association,40175693
SERBP1,MESH:D054059,0.9989,Association,40175693
SERBP1,MESH:D001778,0.9997,Association,40175693
SERBP1,MESH:D003324,0.998,Negative_Correlation,40175693
SERBP1,MESH:D050197,0.9997,Association,40175693
S100A12,MESH:D018805,0.9784,Association,40187358
S100A12,MESH:D000086382,0.9929,Association,40187358
