DescriptorUI	DescriptorName	TreeNumbers
D003677	Deficiency Diseases	C18.654.521.500
D003680	Deglutition Disorders	C06.405.117.119|C09.775.174
D003681	Dehydration	C18.452.950.179|C23.550.274
D003693	Delirium	C10.597.606.337.500|C23.888.592.604.339.500|F01.700.250.500|F03.615.350
D003699	Hepatitis D	C01.925.440.450|C01.925.782.450|C06.552.380.705.450
D003704	Dementia	C10.228.140.380|F03.615.400
D003711	Demyelinating Diseases	C10.314
D003715	Dengue	C01.920.852.157|C01.925.081.270|C01.925.782.350.250.214|C01.925.782.417.214
D003719	Dens in Dente	C07.650.800.250|C07.793.700.250|C16.131.850.800.250
D003728	Dental Calculus	C07.793.208.250|C23.300.175.350
D003731	Dental Caries	C07.793.720.210
D003741	Dental Deposits	C07.793.208
D003744	Dental Enamel Hypoplasia	C07.650.800.295.625|C07.793.700.295.625|C16.131.850.800.295.625
D003750	Dental Fissures	A14.549.167.900.258|C07.793.700.255
D003751	Dental Fistula	C07.465.614.187|C23.300.575.500.275
D003763	Dental Leakage	C07.793.221
D003769	Dental Occlusion, Traumatic	C07.793.494.293
D003773	Dental Plaque	C07.793.208.377
D003784	Dental Pulp Calcification	C07.793.237.252
D003788	Dental Pulp Diseases	C07.793.237
D003789	Dental Pulp Exposure	C07.793.237.283
D003790	Dental Pulp Necrosis	C07.793.237.315|C23.550.717.182
D003803	Dentigerous Cyst	C04.182.089.530.690.310|C05.500.470.690.310|C07.320.450.670.275
D003805	Dentin Dysplasia	C07.650.800.260|C07.793.700.260|C16.131.850.800.260
D003807	Dentin Sensitivity	C07.793.266
D003809	Dentin, Secondary	A14.549.167.900.280.280|C07.793.237.378
D003811	Dentinogenesis Imperfecta	C07.650.800.270|C07.793.700.270|C16.131.850.800.270
D003872	Dermatitis	C17.800.174
D003873	Dermatitis, Exfoliative	C17.800.174.318|C17.800.815.318
D003874	Dermatitis Herpetiformis	C17.800.174.360|C17.800.865.360|C20.111.318
D003875	Drug Eruptions	C17.800.174.600|C25.100.468.380
D003876	Dermatitis, Atopic	C16.320.850.210|C17.800.174.193|C17.800.815.193|C17.800.827.210|C20.543.480.343
D003877	Dermatitis, Contact	C17.800.174.255|C17.800.815.255
D003881	Dermatomycoses	C01.150.703.302|C01.800.200|C17.800.838.208
D003882	Dermatomyositis	C05.651.594.819.500|C10.668.491.562.575.500|C17.300.250|C17.800.185
D003884	Dermoid Cyst	C04.182.201|C04.557.465.910.250
D003914	Dextrocardia	C14.240.400.280|C14.280.400.280|C16.131.240.400.280|C16.131.810.250
D003919	Diabetes Insipidus	C12.050.351.968.419.135|C12.200.777.419.135|C12.950.419.135|C19.700.159
D003920	Diabetes Mellitus	C18.452.394.750|C19.246
D003921	Diabetes Mellitus, Experimental	C18.452.394.750.074|C19.246.240|E05.598.500.374
D003922	Diabetes Mellitus, Type 1	C18.452.394.750.124|C19.246.267|C20.111.327
D003923	Diabetes Mellitus, Lipoatrophic	C18.452.394.750.149.500|C19.246.300.500
D003924	Diabetes Mellitus, Type 2	C18.452.394.750.149|C19.246.300
D003925	Diabetic Angiopathies	C14.907.320|C19.246.099.500
D003926	Diabetic Coma	C19.246.099.750
D003928	Diabetic Nephropathies	C12.050.351.968.419.192|C12.200.777.419.192|C12.950.419.192|C19.246.099.875
D003929	Diabetic Neuropathies	C10.668.829.300|C19.246.099.937
D003930	Diabetic Retinopathy	C11.768.257|C14.907.320.382|C19.246.099.500.382
D003963	Diaper Rash	C17.800.174.255.400.250|C17.800.815.255.400.250
D003965	Diaphragmatic Eventration	C06.198.257|C16.131.314.244
D003966	Camurati-Engelmann Syndrome	C05.116.099.708.180|C16.320.144
D003967	Diarrhea	C23.888.821.214
D003968	Diarrhea, Infantile	C23.888.821.214.500
D003969	Vipoma	C04.557.465.625.650.240.847|C04.557.470.200.025.370.847|C04.588.274.761.500.750|C04.588.322.475.500.750|C06.301.761.500.750|C06.689.667.500.750|C19.344.421.500.750
D003970	Diastema	C07.650.800.320|C07.793.700.320|C16.131.850.800.320
D004011	Dicrocoeliasis	C01.610.335.865.224
D004022	Dictyocaulus Infections	C01.610.335.349.315|C01.610.335.508.700.775.825.315|C01.610.701.377.315|C22.674.377.315
D004030	Dientamoebiasis	C01.610.432.275|C01.610.752.275|C06.405.469.452.275
D004057	Hyperostosis, Diffuse Idiopathic Skeletal	C05.116.540.410|C05.116.900.815.651
D004062	DiGeorge Syndrome	C05.660.207.103.500|C14.240.400.021.500|C14.280.400.044.500|C15.604.451.249.500|C16.131.077.019.500|C16.131.240.400.021.500|C16.131.260.019.500|C16.131.482.249.500|C16.131.621.207.103.500|C16.320.180.019.500|C19.642.482.500.500
D004065	Digestive System Abnormalities	C06.198|C16.131.314
D004066	Digestive System Diseases	C06
D004067	Digestive System Neoplasms	C04.588.274|C06.301
D004108	Dilatation, Pathologic	C23.300.325
D004154	Dipetalonema Infections	C01.610.335.508.700.750.361.275
D004165	Diphtheria	C01.150.252.410.040.246.388
D004169	Diphyllobothriasis	C01.610.335.190.304
D004172	Diplopia	C10.597.751.941.339|C11.966.339|C23.888.592.763.941.339
D004184	Dirofilariasis	C01.610.335.349.320|C01.610.335.508.700.750.361.290|C01.610.701.377.320|C01.920.852.188|C22.674.377.320
D004194	Disease	C23.550.288
D004195	Disease Models, Animal	C22.232|E05.598.500|E05.599.395.080
D004198	Disease Susceptibility	C23.550.291.687|G07.100.250
D004200	Diseases in Twins	C23.550.291.750
D004204	Joint Dislocations	C05.550.518|C26.289
D004211	Disseminated Intravascular Coagulation	C15.378.100.220|C15.378.463.250|C15.378.925.220
D004216	Distemper	C01.925.782.580.600.500.285|C22.268.265
D004238	Diverticulitis	C06.405.205.282.500
D004239	Diverticulitis, Colonic	C06.405.205.282.500.250|C06.405.469.158.587.500
D004240	Diverticulum	C06.405.205.282.750|C23.300.415
D004241	Diverticulum, Colon	C06.405.205.282.750.500|C23.300.415.500
D004244	Dizziness	C23.888.592.763.237
D004266	DNA Virus Infections	C01.925.256
D004283	Dog Diseases	C22.268
D004310	Double Outlet Right Ventricle	C14.240.400.560.540.500|C14.240.400.915.300|C14.280.400.560.540.500|C14.280.400.915.300|C16.131.240.400.560.540.500|C16.131.240.400.915.300
D004313	Dourine	C01.610.701.688.367|C01.610.752.300.900.226|C01.610.752.625.367|C22.674.710.367
D004314	Down Syndrome	C10.597.606.360.220|C16.131.077.327|C16.131.260.260|C16.320.180.260
D004320	Dracunculiasis	C01.610.335.508.700.750.299
D004332	Drowning	C23.550.260.393|C26.304|N06.850.135.696
D004342	Drug Hypersensitivity	C25.100.468
D004368	Dry Socket	C07.465.227
D004370	Duane Retraction Syndrome	C10.292.562.700.375.500|C11.270.235|C11.590.436.400.500|C16.320.290.235
D004374	Ductus Arteriosus, Patent	C14.240.400.340|C14.280.400.340|C16.131.240.400.340
D004377	Dumping Syndrome	C06.405.748.630.310|C23.550.767.812.500
D004378	Duodenal Diseases	C06.405.469.275
D004379	Duodenal Neoplasms	C04.588.274.476.411.445|C06.301.371.411.445|C06.405.249.411.445|C06.405.469.275.270|C06.405.469.491.445
D004380	Duodenal Obstruction	C06.405.469.275.395|C06.405.469.531.311
D004381	Duodenal Ulcer	C06.405.469.275.800.348|C06.405.748.586.349
D004382	Duodenitis	C06.405.205.462.249|C06.405.469.275.600|C06.405.469.326.750
D004383	Duodenogastric Reflux	C06.405.469.275.700|C06.405.748.240
D004387	Dupuytren Contracture	C04.557.450.565.590.340.173|C05.651.197.270|C17.300.270
D004392	Dwarfism	C05.116.099.343|C16.320.240|C19.297
D004393	Dwarfism, Pituitary	C05.116.099.343.445|C05.116.132.358|C10.228.140.617.738.300.300|C19.297.312|C19.700.482.311
D004401	Dysarthria	C10.597.606.150.500.800.150.200|C23.888.592.604.150.500.800.150.200
D004402	Dysautonomia, Familial	C10.177.575.300|C10.500.250.309|C10.574.500.493.250|C10.668.829.800.175.250|C16.131.666.310.309|C16.320.400.415.309
D004403	Dysentery	C06.405.205.331|C06.405.469.300
D004404	Dysentery, Amebic	C01.610.432.396|C01.610.752.049.328|C06.405.205.331.312|C06.405.469.300.312|C06.405.469.452.396
D004405	Dysentery, Bacillary	C01.150.252.400.310.229|C06.405.205.331.479|C06.405.469.300.479
D004406	Dysgammaglobulinemia	C15.378.147.333|C20.673.430
D004407	Dysgerminoma	C04.557.465.330.300
D004408	Dysgeusia	C10.597.751.861.479|C23.888.592.763.861.479
D004409	Dyskinesia, Drug-Induced	C10.228.662.262.500|C10.597.350.275|C10.720.312|C23.888.592.350.275|C25.100.750|C25.723.705.200
D004410	Dyslexia	C10.597.606.150.500.300|C10.597.606.150.550.700.500|C23.888.592.604.150.500.300|C23.888.592.604.150.550.700.500|F03.625.374.188.700.500|F03.625.562.700.500
D004411	Dyslexia, Acquired	C10.597.606.150.500.300.200|C10.597.606.150.550.700.500.500|C23.888.592.604.150.500.300.200|C23.888.592.604.150.550.700.500.500|F03.615.700|F03.625.374.188.700.500.500|F03.625.562.700.500.500
D004412	Dysmenorrhea	C23.550.568.750|C23.888.592.612.944.500
D004413	Dysostoses	C05.116.099.370
D004414	Dyspareunia	C12.050.351.500.110|C12.100.250.110|C12.100.500.100|C12.100.875.242|C12.200.294.100|F03.835.199
D004415	Dyspepsia	C23.888.821.236
D004416	Dysplastic Nevus Syndrome	C04.557.665.560.260|C04.700.305|C16.320.700.305
D004417	Dyspnea	C08.618.326|C23.888.852.371
D004418	Dyspnea, Paroxysmal	C08.618.326.396|C14.280.434.313|C23.888.852.371.396
D004420	Dystocia	C12.050.703.420.288
D004421	Dystonia	C10.597.350.300|C23.888.592.350.300
D004422	Dystonia Musculorum Deformans	C10.228.140.079.357|C10.228.662.300.200|C10.574.500.393|C16.320.400.330
D004426	Ear Deformities, Acquired	C09.218.271
D004427	Ear Diseases	C09.218
D004428	Ear Neoplasms	C04.588.443.665.312|C09.218.334|C09.647.312
D004433	Earache	C09.218.350|C23.888.592.612.302
D004437	Ebstein Anomaly	C14.240.400.395|C14.280.400.395|C16.131.240.400.395
D004438	Ecchymosis	C15.378.100.452|C23.550.414.625|C23.888.885.312
D004443	Echinococcosis	C01.610.335.190.396
D004444	Echinococcosis, Hepatic	C01.610.335.190.396.314|C01.610.518.314|C06.552.664.272
D004445	Echinococcosis, Pulmonary	C01.610.335.190.396.480|C01.610.582.314|C01.748.450.314|C08.381.517.314|C08.730.450.314
D004451	Echinostomiasis	C01.610.335.865.282
D004454	Echolalia	C10.597.606.150.500.800.300|C23.888.592.604.150.500.800.300
D004457	Echovirus Infections	C01.925.782.687.359.347
D004461	Eclampsia	C12.050.703.395.124
D004473	Ecthyma	C01.150.252.410.890.168|C01.150.252.819.210|C01.800.720.210|C17.800.695.210|C17.800.838.765.210
D004474	Ecthyma, Contagious	C01.925.256.743.193|C22.836.259
D004476	Ectodermal Dysplasia	C16.131.077.350|C16.131.831.350|C16.320.850.250|C17.800.804.350|C17.800.827.250
D004478	Ectoparasitic Infestations	C01.610.858.211
D004479	Ectopia Lentis	C11.250.300|C11.510.598.373|C16.131.384.405
D004480	Ectromelia	C05.660.585.350|C16.131.621.585.350
D004482	Ectromelia, Infectious	C01.925.256.743.239|C22.795.239
D004483	Ectropion	C11.338.362
D004485	Eczema	C17.800.174.620|C17.800.815.620
D004487	Edema	C23.888.277
D004488	Edema Disease of Swine	C22.905.260
D004489	Edema, Cardiac	C14.280.434.482|C23.888.277.197
D004535	Ehlers-Danlos Syndrome	C14.907.454.240|C15.378.463.515.240|C16.131.831.428|C16.320.850.260|C17.300.200.310|C17.800.804.428|C17.800.827.260
D004541	Eisenmenger Complex	C14.240.400.450|C14.280.400.450|C16.131.240.400.450
D004556	Electric Injuries	C26.324
D004604	Elephantiasis	C15.604.496.320
D004605	Elephantiasis, Filarial	C01.610.335.508.700.750.361.350|C01.920.852.250|C15.604.496.490
D004612	Elliptocytosis, Hereditary	C15.378.050.141.150.365|C16.320.070.365
D004613	Ellis-Van Creveld Syndrome	C05.116.099.708.327|C16.131.077.350.398|C16.131.831.350.398|C16.320.850.250.398|C17.800.804.350.398|C17.800.827.250.398
D004614	Emaciation	C23.888.144.828.500
D004617	Embolism	C14.907.355.350
D004618	Embolism, Air	C14.907.355.350.254
D004619	Embolism, Amniotic Fluid	C12.050.703.634.404|C14.583.404|C14.907.355.350.354
D004620	Embolism, Fat	C14.907.355.350.454
D004630	Emergencies	C23.550.291.781|N06.230.100.083|N06.850.376
D004646	Emphysema	C23.550.325
D004652	Empty Sella Syndrome	C10.228.140.617.738.200|C19.700.320
D004653	Empyema	C01.830.305|C23.550.470.756.305
D004654	Empyema, Tuberculous	C01.748.265.320|C01.748.912.405|C01.830.305.310.320|C08.528.240.320|C08.528.928.405|C08.730.265.320|C08.730.912.405|C23.550.470.756.305.250.320
D004660	Encephalitis	C10.228.140.430|C10.586.250
D004670	Encephalitis, California	C01.207.245.340.300.200|C01.207.399.750.300.200|C01.920.313.156.340|C01.920.852.500.340|C01.925.081.343.340|C01.925.182.525.300.200|C01.925.782.147.340|C01.925.782.310.340|C10.228.140.430.520.750.300.200|C10.228.228.245.340.300.200|C10.228.228.399.750.300.200|C10.586.250.520.750.300.200
D004671	Encephalitis, Arbovirus	C01.207.245.340.300|C01.207.399.750.300|C01.920.313.156|C01.920.852.500|C01.925.081.343|C01.925.182.525.300|C01.925.782.310|C10.228.140.430.520.750.300|C10.228.228.245.340.300|C10.228.228.399.750.300|C10.586.250.520.750.300
D004672	Encephalitis, Japanese	C01.207.245.340.300.400|C01.207.399.750.300.400|C01.920.313.156.345|C01.920.852.500.345|C01.925.081.343.345|C01.925.182.525.300.250|C01.925.782.310.345|C01.925.782.350.250.300|C10.228.140.430.520.750.300.400|C10.228.228.245.340.300.400|C10.228.228.399.750.300.400|C10.586.250.520.750.300.400
D004673	Encephalomyelitis, Acute Disseminated	C10.114.375.225|C10.228.140.695.562.225|C10.314.350.225|C20.111.258.250.350|C23.550.291.500.829.188
D004674	Encephalitis, St. Louis	C01.207.245.340.300.550|C01.207.399.750.300.550|C01.920.313.156.350|C01.920.852.500.350|C01.925.081.343.350|C01.925.182.525.300.300|C01.925.782.310.350|C01.925.782.350.250.450|C10.228.140.430.520.750.300.550|C10.228.228.245.340.300.550|C10.228.228.399.750.300.550|C10.586.250.520.750.300.550
D004675	Encephalitis, Tick-Borne	C01.207.245.340.300.775|C01.207.399.750.300.775|C01.920.313.187|C01.920.930.400|C01.925.081.343.360|C01.925.182.525.300.350|C01.925.782.310.360|C01.925.782.350.250.500|C10.228.140.430.520.750.300.775|C10.228.228.245.340.300.775|C10.228.228.399.750.300.775|C10.586.250.520.750.300.775
D004677	Encephalocele	C10.500.680.488|C16.131.666.680.488|C23.300.707.186
D004678	Encephalomalacia	C10.228.140.461
D004679	Encephalomyelitis	C01.207.291|C10.228.228.291|C10.586.500
D004681	Encephalomyelitis, Autoimmune, Experimental	C10.114.703.300|C10.228.140.695.562.250|C10.314.350.250|C20.111.258.625.300|E05.598.500.500.500
D004682	Encephalomyelitis, Enzootic Porcine	C01.925.782.687.359.456|C22.905.323
D004683	Encephalomyelitis, Equine	C01.207.245.340.450|C01.207.291.323|C01.207.399.750.450|C01.920.313.078.370|C01.920.313.156.655|C01.920.852.032.370|C01.920.852.500.655|C01.925.081.343.655|C01.925.182.525.450|C01.925.782.930.100.370|C10.228.140.430.520.750.450|C10.228.228.245.340.450|C10.228.228.291.323|C10.228.228.399.750.450|C10.586.250.520.750.450|C10.586.500.406
D004684	Leukoencephalitis, Acute Hemorrhagic	C10.114.375.225.500|C10.228.140.695.562.225.500|C10.314.350.225.500|C20.111.258.250.350.500
D004685	Encephalomyelitis, Venezuelan Equine	C01.207.245.340.450.600|C01.207.291.323.325|C01.207.399.750.450.600|C01.920.313.078.370.325|C01.920.313.156.655.355|C01.920.852.032.370.325|C01.920.852.500.655.355|C01.925.081.343.655.355|C01.925.182.525.450.250|C01.925.782.930.100.370.325|C10.228.140.430.520.750.450.600|C10.228.228.245.340.450.600|C10.228.228.291.323.325|C10.228.228.399.750.450.600|C10.586.250.520.750.450.600|C10.586.500.406.225
D004687	Enchondromatosis	C05.116.099.708.338
D004688	Encopresis	C23.888.821.266|F01.145.126.837|F03.388.300
D004692	Endarteritis	C14.907.940.090.340
D004694	Endocardial Cushion Defects	C14.240.400.560.350|C14.280.400.560.350|C16.131.240.400.560.350
D004695	Endocardial Fibroelastosis	C14.280.238.281
D004696	Endocarditis	C14.280.282
D004697	Endocarditis, Bacterial	C01.150.252.245|C01.190.249|C14.260.249|C14.280.282.407
D004698	Endocarditis, Subacute Bacterial	C01.150.252.245.500|C01.150.252.410.890.335|C01.190.249.407|C14.260.249.407|C14.280.282.407.407
D004700	Endocrine System Diseases	C19
D004701	Endocrine Gland Neoplasms	C04.588.322|C19.344
D004714	Endometrial Hyperplasia	C12.050.351.500.852.228|C12.100.250.852.228
D004715	Endometriosis	C12.050.351.500.163|C12.100.250.163
D004716	Endometritis	C12.050.351.500.056.750.249|C12.050.351.500.852.299|C12.100.250.056.750.249|C12.100.250.852.299
D004719	Endomyocardial Fibrosis	C14.280.238.406
D004749	Entamoebiasis	C01.610.752.049.407
D004751	Enteritis	C06.405.205.462|C06.405.469.326
D004753	Enteritis, Transmissible, of Turkeys	C01.925.782.600.550.200.325|C22.131.728.250
D004756	Enterobacteriaceae Infections	C01.150.252.400.310
D004760	Enterocolitis	C06.405.205.596|C06.405.469.363
D004761	Enterocolitis, Pseudomembranous	C01.150.252.410.222.310|C06.405.205.596.800|C06.405.469.363.800
D004767	Enterotoxemia	C01.150.252.410.222.325|C22.313
D004769	Enterovirus Infections	C01.925.782.687.359
D004774	Entropion	C11.338.443
D004775	Enuresis	C12.050.351.968.934.252|C12.200.777.934.284|C12.950.934.252|F01.145.126.856|F03.388.400
D004802	Eosinophilia	C15.378.553.231
D004803	Eosinophilic Granuloma	C05.116.391|C08.381.483.375.500|C15.378.553.231.348|C15.604.250.400.360|C23.550.382.250
D004806	Ependymoma	C04.557.465.625.600.380.290|C04.557.470.670.380.290|C04.557.580.625.600.380.290
D004810	Ephemeral Fever	C01.925.782.580.830.375|C22.196.274
D004814	Epidermal Cyst	C04.182.254
D004818	Epidermitis, Exudative, of Swine	C22.905.382
D004819	Epidermodysplasia Verruciformis	C01.925.256.650.810.345|C01.925.825.810.260|C01.925.928.914.345|C17.800.838.790.810.260
D004820	Epidermolysis Bullosa	C16.131.831.493|C16.320.850.275|C17.800.804.493|C17.800.827.275|C17.800.865.410
D004823	Epididymitis	C12.100.500.199|C12.200.294.199
D004826	Epiglottitis	C01.748.798.200|C08.730.798.200
D004827	Epilepsy	C10.228.140.490
D004828	Epilepsies, Partial	C10.228.140.490.360
D004829	Epilepsy, Generalized	C10.228.140.490.375
D004830	Epilepsy, Tonic-Clonic	C10.228.140.490.375.290
D004831	Epilepsies, Myoclonic	C10.228.140.490.375.130|C10.228.140.490.493.063
D004832	Epilepsy, Absence	C10.228.140.490.375.260|C10.228.140.490.493.125
D004833	Epilepsy, Temporal Lobe	C10.228.140.490.360.290|C10.228.140.490.493.375
D004834	Epilepsy, Post-Traumatic	C10.228.140.199.650|C10.228.140.490.380|C10.900.300.087.600|C26.915.300.200.475
D004839	Epiphyses, Slipped	C05.116.425
D004842	Epispadias	C12.050.351.875.374|C12.050.351.968.767.374|C12.200.706.374|C12.200.777.767.374|C12.800.374|C12.950.767.374|C16.131.939.374
D004844	Epistaxis	C08.460.261|C09.603.261|C23.550.414.712|C23.888.852.040
D004859	Equine Infectious Anemia	C01.925.782.815.616.300|C01.925.839.375|C22.488.304
D004863	Equinus Deformity	C05.330.488.655.125|C05.330.495.681.125|C05.660.585.512.380.813.125|C16.131.621.585.512.500.681.125
D004881	Ergotism	C25.723.680.262
D004884	Eructation	C23.888.821.297
D004886	Erysipelas	C01.150.252.410.890.503|C01.150.252.819.260|C01.800.720.260|C17.800.838.765.260
D004887	Erysipeloid	C01.150.252.410.334.329
D004889	Erysipelothrix Infections	C01.150.252.410.334|C22.331
D004890	Erythema	C17.800.229|C23.888.885.328
D004891	Erythema Induratum	C01.150.252.819.820.260|C01.800.720.820.260|C17.300.710.329|C17.800.229.329|C17.800.566.329|C17.800.838.765.820.320
D004892	Erythema Multiforme	C17.800.229.400|C17.800.865.475
D004893	Erythema Nodosum	C17.800.174.600.375|C17.800.229.413|C25.100.468.380.375
D004894	Erythrasma	C01.150.252.410.040.246.694|C01.150.252.819.320|C01.800.720.320|C17.800.838.765.320
D004899	Erythroblastosis, Fetal	C12.050.703.277.060|C15.378.295|C16.300.060|C16.614.304|C20.306
D004915	Leukemia, Erythroblastic, Acute	C04.557.337.539.275.325|C15.378.190.636.276|C15.378.508.539.275.325
D004916	Erythromelalgia	C14.907.617.500
D004919	Erythroplasia	C04.834.288
D004927	Escherichia coli Infections	C01.150.252.400.310.330
D004931	Esophageal Achalasia	C06.405.117.119.500.432
D004932	Esophageal and Gastric Varices	C06.405.117.240|C06.552.494.414
D004933	Esophageal Atresia	C06.198.330|C06.405.117.260|C16.131.314.330
D004934	Esophageal Cyst	C04.182.281|C06.405.117.316
D004935	Esophageal Diseases	C06.405.117
D004936	Diverticulum, Esophageal	C06.405.205.282.750.625|C23.300.415.625
D004937	Esophageal Fistula	C06.267.250|C06.405.117.367|C23.300.575.185.250
D004938	Esophageal Neoplasms	C04.588.274.476.205|C04.588.443.353|C06.301.371.205|C06.405.117.430|C06.405.249.205
D004939	Esophageal Perforation	C06.405.117.468|C26.348
D004940	Esophageal Stenosis	C06.405.117.544
D004941	Esophagitis	C06.405.117.620|C06.405.205.663
D004942	Esophagitis, Peptic	C06.405.117.620.420|C06.405.205.663.420|C06.405.469.275.800.523|C06.405.748.586.524
D004948	Esotropia	C10.292.562.887.300|C11.590.810.400
D005058	Eunuchism	C19.391.482.293
D005067	Euthyroid Sick Syndromes	C19.874.255
D005076	Exanthema	C17.800.257
D005077	Exanthema Subitum	C01.925.256.466.850.290|C01.925.825.290|C17.800.257.335|C17.800.838.790.290
D005094	Exophthalmos	C11.675.349
D005096	Exostoses	C05.116.540.310
D005097	Exostoses, Multiple Hereditary	C04.557.450.565.575.610.615.325|C04.700.330|C05.116.099.708.670.615.325|C05.116.540.310.500|C16.320.700.330
D005099	Exotropia	C10.292.562.887.650|C11.590.810.440
D005117	Cardiac Complexes, Premature	C14.280.067.325|C14.280.123.375|C23.550.073.325
D005119	Extravasation of Diagnostic and Therapeutic Materials	C23.550.340|C26.371
D005124	Eye Abnormalities	C11.250|C16.131.384
D005126	Eye Burns	C10.900.300.284.250.250|C26.200.503|C26.915.300.425.250.250
D005128	Eye Diseases	C11
D005129	Eye Foreign Bodies	C10.900.300.284.250.260|C26.392.421|C26.915.300.425.250.260
D005130	Eye Hemorrhage	C11.290|C23.550.414.756|C23.888.307.500
D005131	Eye Injuries	C10.900.300.284.250|C11.297|C26.915.300.425.250
D005132	Eye Manifestations	C11.300|C23.888.307
D005134	Eye Neoplasms	C04.588.364|C11.319
D005141	Eyelid Diseases	C11.338
D005142	Eyelid Neoplasms	C04.588.443.392.500|C11.319.421|C11.338.526
D005146	Facial Asymmetry	C23.300.505
D005148	Facial Dermatoses	C17.800.271
D005150	Facial Hemiatrophy	C07.465.284|C07.465.299.375|C10.292.319.375
D005151	Facial Injuries	C10.900.300.284|C26.915.300.425
D005153	Facial Neoplasms	C04.588.443.392
D005155	Facial Nerve Diseases	C07.465.299|C10.292.319
D005156	Facial Neuralgia	C07.465.299.625|C10.292.319.625
D005157	Facial Pain	C23.888.592.612.330
D005158	Facial Paralysis	C07.465.327|C10.597.622.214|C23.888.592.636.214
D005166	Factor V Deficiency	C15.378.100.100.300|C15.378.100.141.300|C15.378.463.300|C16.320.099.300
D005168	Factor VII Deficiency	C15.378.100.100.310|C15.378.100.141.310|C15.378.463.310|C16.320.099.310
D005171	Factor X Deficiency	C15.378.100.100.320|C15.378.100.141.320|C15.378.463.320|C16.320.099.320
D005173	Factor XI Deficiency	C15.378.100.100.325|C15.378.100.141.325|C15.378.463.325|C16.320.099.325
D005175	Factor XII Deficiency	C15.378.100.100.330|C15.378.100.141.330|C15.378.463.330|C16.320.099.330
D005177	Factor XIII Deficiency	C15.378.100.100.335|C15.378.100.141.335|C15.378.463.335|C16.320.099.335
D005183	Failure to Thrive	C23.888.338
D005184	Fallopian Tube Diseases	C12.050.351.500.056.390|C12.100.250.056.390
D005185	Fallopian Tube Neoplasms	C04.588.945.418.365|C12.050.351.500.056.390.390|C12.050.351.937.418.365|C12.100.250.056.390.390|C12.900.418.365
D005198	Fanconi Syndrome	C12.050.351.968.419.815.450|C12.200.777.419.815.450|C12.950.419.815.450|C16.320.831.450
D005199	Fanconi Anemia	C15.378.050.085.080.280|C15.378.190.223.500.500.280|C16.320.077.280|C18.452.284.280
D005203	Farmer's Lung	C08.381.483.125.365|C08.674.055.365|C20.543.480.680.075.365|C24.080.365
D005207	Fasciculation	C10.597.613.250|C23.888.592.608.250
D005208	Fasciitis	C05.321
D005211	Fascioliasis	C01.610.335.865.354|C01.610.518.424|C06.552.664.424
D005213	Fascioloidiasis	C01.610.335.349.444|C01.610.335.865.399|C01.610.701.377.444|C22.674.377.444
D005218	Fat Necrosis	C23.550.717.365
D005221	Fatigue	C23.888.369
D005222	Mental Fatigue	C23.888.369.500|F01.145.126.937
D005234	Fatty Liver	C06.552.241
D005235	Fatty Liver, Alcoholic	C06.552.241.390|C06.552.645.390|C25.775.100.087.645.390
D005236	Favism	C15.378.050.141.150.480.370|C15.378.050.141.370|C16.320.070.480.370|C25.723.415.341|C25.723.756.375
D005242	Fecal Incontinence	C06.405.469.860.300
D005244	Fecal Impaction	C06.405.469.531.424
D005254	Feline Panleukopenia	C01.925.256.700.363|C22.180.460
D005258	Felty Syndrome	C05.550.114.154.389|C05.799.114.389|C17.300.775.099.389|C20.111.199.389
D005261	Female Urogenital Diseases and Pregnancy Complications	C12.050
D005262	Feminization	C23.888.378
D005264	Femoral Fractures	C26.404.061|C26.558.276
D005265	Femoral Neck Fractures	C26.404.061.425.500|C26.531.750.500|C26.558.276.425.500
D005266	Femoral Neoplasms	C04.588.149.276|C05.116.231.343
D005271	Femur Head Necrosis	C05.116.852.175|C23.550.717.732.368
D005311	Fetal Hypoxia	C12.050.703.277.390|C16.300.420|C23.888.852.079.594
D005313	Fetal Death	C12.050.703.223|C23.550.260.585
D005315	Fetal Diseases	C12.050.703.277|C16.300
D005316	Fetal Distress	C23.888.380
D005317	Fetal Growth Retardation	C12.050.703.277.370|C16.300.390|C23.550.393.450
D005320	Fetal Macrosomia	C12.050.703.170.500|C12.050.703.277.570|C12.050.703.726.570|C16.300.570|C19.246.099.968|C23.888.144.186.500
D005322	Fetal Membranes, Premature Rupture	C12.050.703.420.339
D005327	Fetal Resorption	C12.050.703.223.300|C23.550.260.585.260
D005330	Fetofetal Transfusion	C15.378.050.363.344|C16.614.053.344
D005331	Fetomaternal Transfusion	C15.378.050.363.511|C16.614.053.511
D005334	Fever	C23.888.119.344
D005335	Fever of Unknown Origin	C23.888.119.344.345
D005348	Fibrocystic Breast Disease	C17.800.090.750
D005350	Fibroma	C04.557.450.565.590.340
D005351	Fibromatosis, Gingival	C07.465.525.304|C07.465.714.258.428.200|C07.650.525.304|C16.131.850.525.304
D005352	Fibromuscular Dysplasia	C14.907.137.372
D005354	Fibrosarcoma	C04.557.450.565.590.350|C04.557.450.795.350
D005355	Fibrosis	C23.550.355
D005356	Fibromyalgia	C05.651.324|C05.799.321|C10.668.491.425
D005357	Fibrous Dysplasia of Bone	C05.116.099.708.375
D005358	Fibrous Dysplasia, Monostotic	C05.116.099.708.375.372
D005359	Fibrous Dysplasia, Polyostotic	C05.116.099.708.375.381
